sinhala_question,sinhala_answer
"මම විශ්‍රාම ගොස් මාස කීපයක් ගතවී ඇතත් මගේ විශ්‍රාම වැටුප මා හට ලැබී නැත.හේතුව කුමක්ද ?","විශ්‍රාම වැටුප් ගෙවීම ආරම්භ කිරීමට නම් ඔබ අවසන් වරට සේවය කරන ලද ආයතනය මඟින් මාර්ගගත පද්ධතිය හරහා විශ්‍රාම වැටුප් PD 03 අයදුම්පතක් විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව වෙත යොමු කළ යුතුය.ඔබ විශ්‍රාම ගොස් මාස කීපයක් ගත වුවත් ඔබගේ විශ්‍රාම වැටුප් අයදුම්පත ආයතනය මඟින් මෙතෙක් එවා නොමැති නම් හෝ ප්‍රමාද වී එවා ඇත්නම් ඔබගේ විශ්‍රාම වැටුප ගෙවීම ආරම්භ කිරීම ප්‍රමාද විය හැකිය.එබැවින් ඔබගේ විශ්‍රාම වැටුප් අයදුම්පත යොමු කළ දිනය පිළිබඳව ඔබ සේවය කරන ආයතනයෙන් විමසන්න."
"මාගේ විශ්‍රාම වැටුප් අයදුම්පත විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව වෙත ලැබුණු බව මා දැන ගන්නේ කෙසේද ?","විශ්‍රාම වැටුප් අයදුම්පත් විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව වෙත ලද විගස ඒ බව ඔබගේ ජංගම දුරකතන අංකය වෙත කෙටි පණිවිඩයක් මඟින් දැනුම් දෙනු ලබයි. මීට අමතරව විශ්‍රාම වැටුප් දෙපාර්තමේන්තුවේ වෙබ් අඩවියේ “විශ්‍රාමිකයා” බටනය ඹබන්න. “ විශ්‍රාමික අයදුම්පත් තොරතුරු ” යටතේ ඔබගේ ජාතික හැඳුනුම්පත් අංකය ඇතුළත් කිරීම මඟින් ද අයදුම්පත් සම්බන්ධ තොරතුරු දැන ගැනීමට හැකියාව ඇත."
"විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව මඟින් යොමු කරන කෙටි පණිවිඩ මාගේ දුරකතන අංකයට නොලැබේ.","විශ්‍රාම වැටුප් අයදුම්පතේ සඳහන් කර ඇති ජංගම දුරකතන අංකයට පමණක් විශ්‍රාම වැටුප් දෙපාර්තමේන්තුවේ කෙටි පණිවිඩ යොමු කරන අතර අයදුම්පතේ ජංගම දුරකතන අංකය වැරදියට සටහන් කර තිබීම, ජංගම දුරකතනයේ තාක්ෂණික දෝෂයක් පැවතීම යනාදී කරුණු මත දෙපාර්තමේන්තුවේ දුරකතන කෙටි පණිවිඩ නොලැබී යා හැකිය."
"විශ්‍රාම වැටුප් අයදුම්පතක් ලැබී කොපමණ කලකින් විශ්‍රාම වැටුප ලබා ගත හැකිද ?","නිලධාරියා අවසන් වරට සේවයේ යෙදී සිටි ආයතනය මඟින් විශ්‍රාම වැටුප් අයදුම්පත අඩුපාඩු රහිතව ඉදිරිපත් කර ඇත්නම් අයදුම්පත ලැබී මසක කාලයක් ඇතුළත විශ්‍රාම වැටුප සක්‍රිය වේ."
"විශ්‍රාම වැටුප් අයදුම්පතක් යොමු කළ පසු සිදු වන ක්‍රියාවලිය කුමක්ද ?","විශ්‍රාම වැටුප් අයදුම්පතේ සඳහන් කර ඇති ජංගම දුරකතන අංකයට පමණක් විශ්‍රාම වැටුප් දෙපාර්තමේන්තුවේ කෙටි පණිවිඩ යොමු කරන අතර අයදුම්පතේ ජංගම දුරකතන අංකය වැරදියට සටහන් කර තිබීම, ජංගම දුරකතනයේ තාක්ෂණික දෝෂයක් පැවතීම යනාදී කරුණු මත දෙපාර්තමේන්තුවේ දුරකතන කෙටි පණිවිඩ නොලැබී යා හැකිය."
"ප්‍රථම විශ්‍රාම වැටුප් සක්‍රිය කිරීමේ සම්මුඛ පරීක්ෂණයට කැඳවීම සිදු වන්නේ කෙසේද ?","ප්‍රථම විශ්‍රාම වැටුප් සක්‍රිය කිරීමේ සම්මුඛ පරීක්ෂණය පැවැත්වෙන දිනය, වේලිව සහ ස්ථානය පිළිබඳව අදාළ විශ්‍රාමික නිලධාරින්ගේ ජංගම දුරකතන අංකය වෙත කෙටි පණිවිඩ මඟින් පමණක් දැනුම් දෙනු ලැබේ."
"ප්‍රථම විශ්‍රාම වැටුප සක්‍රිය කිරීමේ සම්මුඛ පරීක්ෂණය පවත්වනු ලබන්නේ කුමන ස්ථානයන්හිදී ද?","මෙම සම්මුඛ පරීක්ෂණ පහත සඳහන් ස්ථානයන්හිදී පවත්වනු ලබන අතර විශ්‍රාමිකයන්ට තමන්ට පහසු මධ්‍යස්තානයක් විශ්‍රාම වැටුප් අයදුම්පත් යොමු කරන අවස්දාවේ දී තෝරා ගත හැකිය. විශ්‍රාම වැටුප් දෙපාර්තමේන්තු ප්‍රධාන කාර්යාලය -මාළිගාවත්ත -කොළඹ 10 ;කුරුණෑගල දිස්ත්‍රික් ලේකම් කාර්යාලය ;මාතර දිස්ත්‍රික් ලේකම් කාර්යාලය;මහනුවර දිස්ත්‍රික් ලේකම් කාර්යාලය; බදුල්ල දිස්ත්‍රික් ලේකම් කාර්යාලය ;අනුරාධපුර දිස්ත්‍රික් ලේකම් කාර්යාලය"
"විශ්‍රාම වැටුප සක්‍රිය කිරීමේ සම්මුඛ පරීක්ෂණයේ දී සිදු කරන කටයුතු මොනවාද ?","වැන්දඹු අනත්දරු හිමිකම් පත්‍රය නිකුත් කිරීම ;විශ්‍රාමික හැඳුනුම්පත නිකුත් කිරීම ;ශ්‍රාමිකයන්ගේ ඇඟිලි සලකුණු ලබා ගැනීම ;විශ්‍රාම වැටුප සක්‍රිය කිරීම"
"විශ්‍රාමික හැඳුනුම්පත නැති වූ විට නව විශ්‍රාමික හැඳුනුම්පතක් ලබා ගන්නේ කෙසේද?","විශ්‍රාමික හැඳුනුම්පත නැති වූ බවට ඔබ පදිංචි බල ප්‍රදේශයට අයත් පොලිස් ස්ථානය වෙත කරන ලද පැමිණිල්ලේ පිටපත සමඟ නැවත හැඳුනුම්පතක් ලබා දෙන ලෙස ඔබ විසින් ලිඛිතව කරනු ලබන ඉල්ලීම් ලිපිය ( ඔබගේ ජාතක හැඳුනුම්පත් අංකය හා විශ්‍රාම වැටුප් අංකය පැහැදිලිව සඳහන් කරන්න.) විශ්‍රාම වැටුප් දෙපාර්තමේන්තුව, මාළිගාවත්ත, කොළඹ 10 ලිපිනයට යොමු කරන්න.ඡායාරූපයක් එවීම අවශ්‍ය නොවේ.දෙවන වරට විශ්‍රාමික හැඳුනුම්පත නිකුත් කිරීමේදී තැපැල් ගාස්තු ද සමඟ ඔබගේ විශ්‍රාම වැටුපෙන් රුපියල් 410.00 ක් අය කරනු ලැබේ.මුද්‍රණය කරනු ලබන විශ්‍රමික හැඳුනුම්පත ලියාපදිංචි තැපෑලෙන් ඔබ‍ වෙත යොමු කිරීමට කටයුතු කරනු ලැබේ."
"ආබාධිත අනත්දරු විශ්‍රාම වැටුප යනු කුමක්ද?","උපතින්ම හෝ වයස අවුරුදු 26ට පෙර ඇතිවූ මානසික හෝ ශාරීරික අශක්නුතාවයට පත්වූ දරුවන් සිටින  රාජ්‍ය සේවයේ නියුතුව සිටි නිලධාරීන්ගේ දරුවන් සඳහා එම නිලධාරීන්ගේ ඇවෑමෙන් ජීවිත කාලය පුරාම ගෙවනු ලබන විශ්‍රාම වැටුප ආබාධිත විශ්‍රාම වැටුප ලෙස හැඳින්වේ."
"ආබාධිත අනත්දරු විශ්‍රාම වැටුප් ලබා ගැනීම සඳහා ඉල්ලුම්කරුවන් විසින් සිදු කළ යුත්තේ කුමක්ද?","රාජ්‍ය සේවයේ නියුතුව සිටියදී හෝ විශ්‍රාමිකව සිටියදී තම මව සහ පියා දෙදෙනාම මිය ගිය පසු, ආබාධිත විශ්‍රාම වැටුප සකසා ගැනීම සඳහා අදාළ ලේඛන ලබා දී ප්‍රාදේශීය ලේකම් කාර්යාලය මගින් සිදු කරනු ලබන මූලික පරීක්ෂණ කටයුතු වලට පෙනී සිටිය යුතු වේ. ඉන්පසු ප්‍රාදේශීය ලේකම් කාර්යාලය විසින් ඉදිරි කටයුතු සඳහා ලිපි ගොනුව ප්‍රධාන කාර්යාලය වෙත යොමු කරනු ලැබේ."
"ආබාධිත අනත්දරු විශ්‍රාම වැටුප් අයදුම්පත් සම්බන්ධයෙන් තොරතුරු සම්පූර්ණ කිරීමේදී දායකයා ලෙස හඳුන්වන්නේ කවුරුන්ද?","රජයේ සේවයේ ස්ථිර හා විශ්‍රාම වැටුප් හිමි තනතුරක සේවය කිරීම සඳහා පත්වීමක් ලබා ගත් වැන්දඹු හා අනත්දරු අරමුදලේ සාමාජිකත්වය ලබා ඇති නිලධාරීන්/නිලධාරිණියන් දායකයා ලෙස හඳුන්වනු ලබයි."
